idx	X	Y	component
289	2148.622821399112	2298.869684230736	0
290	2148.664718710621	2298.863232894381	0
291	2151.359212243426	2298.367921118368	0
292	2148.621841339629	2298.869992570367	0
293	2151.347647993649	2298.371264830186	0
294	2151.353158490017	2298.370394991187	0
295	2188.91218920383	2291.631021090635	0
296	2188.304775807852	2291.731792835884	0
297	2188.214280125454	2291.713826024855	0
298	2188.908784522436	2291.631829038494	0
299	2189.055941056238	2291.611768757215	0
300	2189.054344278947	2291.612001740168	0
301	2190.772890511402	2291.338275739548	0
302	2189.007115286473	2291.616428989331	0
303	2190.761492859209	2291.339397202042	0
304	2190.747982623097	2291.341109072768	0
305	2197.967914455251	2290.054851833135	0
306	2197.956618177436	2290.054264116312	0
307	2202.154382231221	2289.350929230644	0
308	2197.958910186178	2290.055982524293	0
309	2202.272042125186	2289.331955865296	0
310	2202.283503250917	2289.329996837499	0
311	2203.743589789367	2289.067407057355	0
312	2203.755956279244	2289.065148918595	0
313	2204.979819249256	2288.756707994326	0
314	2203.691505297811	2289.074619945967	0
315	2204.711161575506	2288.775132892081	0
316	2204.96667349647	2288.758654105245	0
317	2211.082733184388	2287.836416172542	0
318	2211.129839327866	2287.82832516311	0
319	2215.559465604417	2287.073710492035	0
320	2211.084529471659	2287.836237426603	0
321	2215.565003012772	2287.072270395089	0
322	2215.562412836228	2287.072714925534	0
323	2218.511160062563	2286.576179295638	0
324	2218.535257523142	2286.571644232507	0
325	2224.464668661106	2285.562502788659	0
326	2218.555414849752	2286.568916411672	0
327	2224.536553226592	2285.555565167677	0
328	2224.528989353274	2285.55685215534	0
329	2283.222978204627	2275.460700707761	0
330	2283.147155021767	2275.475992323686	0
331	2283.270767884068	2275.450331710895	0
332	2283.226022959707	2275.460243827382	0
333	2285.121503477452	2275.140755380618	0
334	2285.11420051975	2275.141776047933	0
335	2336.486798355773	2265.103142408832	0
336	2285.127661186409	2275.140882456052	0
337	2286.75915946581	2274.89825482588	0
338	2286.659886681835	2274.903795675918	0
339	2294.972979208502	2273.457998478436	0
340	2286.77299285698	2274.894709616269	0
341	2295.271372950116	2273.431666461612	0
342	2295.270087859628	2273.431896895979	0
343	2420.77556807552	2254.107080167873	0
344	2336.383819669292	2265.118354418169	0
345	2337.565486411338	2264.852499518747	0
346	2336.496358989292	2265.101030077384	0
347	2337.74069447542	2264.819794086035	0
348	2337.749981325771	2264.817984562539	0
349	2558.287123410219	2223.870221496084	0
350	2420.81136644541	2254.101878056535	0
351	2422.522526731368	2253.840728128002	0
352	2420.809474159577	2254.10111832779	0
353	2422.498618605211	2253.843834517686	0
354	2422.495902325756	2253.844378530098	0
355	2455.801843568356	2248.697556383539	0
356	2455.475648793378	2248.714427344751	0
357	2457.455369044729	2248.440524790085	0
358	2455.817395370334	2248.695896861197	0
359	2457.465795713309	2248.44069154283	0
360	2457.45025973516	2248.441502068895	0
361	2575.830992602388	2231.686255113875	0
362	2575.696453724217	2231.708100312556	0
363	2552.160784127854	2232.678743434059	0
364	2552.131951731204	2232.677437440511	0
365	2553.895706520646	2232.610661925582	0
366	2552.201322412745	2232.670564315537	0
367	2553.922857184732	2232.609149079324	0
368	2553.907796511257	2232.609782894877	0
369	2575.508638535668	2231.705608535674	0
370	2575.837952682137	2231.681978038733	0
371	2578.83200991771	2231.066409209621	0
372	2578.706955991828	2231.088731394138	0
373	2578.923388131319	2231.046819052736	0
374	2578.827725890956	2231.067752680343	0
375	2581.129332828438	2230.618048312375	0
376	2581.041511793848	2230.604291102992	0
377	2570.620688245614	2230.079700202761	0
378	2581.137843994576	2230.616475888073	0
379	2584.67163055831	2230.148276104932	0
380	2584.54596731182	2230.155751772607	0
381	2570.44665916786	2230.035142628186	0
382	2570.444892822974	2230.034722311781	0
383	2568.804234727341	2229.770945977114	0
384	2568.771286454967	2229.770433515059	0
385	2566.696345960311	2229.272812406198	0
386	2568.766412881301	2229.760018681186	0
387	2567.82676238047	2229.02285249076	0
388	2567.818838168751	2229.024811561996	0
389	2567.181778694339	2228.04029048294	0
390	2567.18451426818	2228.040237095072	0
391	2567.923315282275	2227.167625794164	0
392	2566.896495585981	2227.992127014742	0
393	2566.793341166846	2227.614451155776	0
394	2567.909823341335	2227.169902328065	0
395	2570.610264641808	2226.627286836051	0
396	2570.642938749344	2226.628971260316	0
397	2576.446087370603	2227.56412069689	0
